# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\xKamaiL\Desktop\digitalcircuit-laboratoy\lab4\part5\pin.csv
# Generated on: Thu Aug 25 00:38:05 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
clock50,Input,PIN_M9,3B,B3B_N0,PIN_M16,,,,,,,,,,,,,
hex0[0],Output,PIN_U21,4A,B4A_N0,PIN_K20,,,,,,,,,,,,,
hex0[1],Output,PIN_V21,4A,B4A_N0,PIN_C16,,,,,,,,,,,,,
hex0[2],Output,PIN_W22,4A,B4A_N0,PIN_K19,,,,,,,,,,,,,
hex0[3],Output,PIN_W21,4A,B4A_N0,PIN_G16,,,,,,,,,,,,,
hex0[4],Output,PIN_Y22,4A,B4A_N0,PIN_G17,,,,,,,,,,,,,
hex0[5],Output,PIN_Y21,4A,B4A_N0,PIN_B16,,,,,,,,,,,,,
hex0[6],Output,PIN_AA22,4A,B4A_N0,PIN_N19,,,,,,,,,,,,,
hex1[0],Output,PIN_AA20,4A,B4A_N0,PIN_W19,,,,,,,,,,,,,
hex1[1],Output,PIN_AB20,4A,B4A_N0,PIN_W16,,,,,,,,,,,,,
hex1[2],Output,PIN_AA19,4A,B4A_N0,PIN_V16,,,,,,,,,,,,,
hex1[3],Output,PIN_AA18,4A,B4A_N0,PIN_AA18,,,,,,,,,,,,,
hex1[4],Output,PIN_AB18,4A,B4A_N0,PIN_AA17,,,,,,,,,,,,,
hex1[5],Output,PIN_AA17,4A,B4A_N0,PIN_AA20,,,,,,,,,,,,,
hex1[6],Output,PIN_U22,4A,B4A_N0,PIN_U22,,,,,,,,,,,,,
hex2[0],Output,PIN_Y19,4A,B4A_N0,PIN_Y22,,,,,,,,,,,,,
hex2[1],Output,PIN_AB17,4A,B4A_N0,PIN_R14,,,,,,,,,,,,,
hex2[2],Output,PIN_AA10,3B,B3B_N0,PIN_Y21,,,,,,,,,,,,,
hex2[3],Output,PIN_Y14,4A,B4A_N0,PIN_P14,,,,,,,,,,,,,
hex2[4],Output,PIN_V14,4A,B4A_N0,PIN_W21,,,,,,,,,,,,,
hex2[5],Output,PIN_AB22,4A,B4A_N0,PIN_Y20,,,,,,,,,,,,,
hex2[6],Output,PIN_AB21,4A,B4A_N0,PIN_V19,,,,,,,,,,,,,
hex3[0],Output,PIN_Y16,4A,B4A_N0,PIN_T18,,,,,,,,,,,,,
hex3[1],Output,PIN_W16,4A,B4A_N0,PIN_L22,,,,,,,,,,,,,
hex3[2],Output,PIN_Y17,4A,B4A_N0,PIN_M22,,,,,,,,,,,,,
hex3[3],Output,PIN_V16,4A,B4A_N0,PIN_U17,,,,,,,,,,,,,
hex3[4],Output,PIN_U17,4A,B4A_N0,PIN_U16,,,,,,,,,,,,,
hex3[5],Output,PIN_V18,4A,B4A_N0,PIN_T19,,,,,,,,,,,,,
hex3[6],Output,PIN_V19,4A,B4A_N0,PIN_R17,,,,,,,,,,,,,
hex4[0],Output,PIN_U20,4A,B4A_N0,PIN_P19,,,,,,,,,,,,,
hex4[1],Output,PIN_Y20,4A,B4A_N0,PIN_T20,,,,,,,,,,,,,
hex4[2],Output,PIN_V20,4A,B4A_N0,PIN_T17,,,,,,,,,,,,,
hex4[3],Output,PIN_U16,4A,B4A_N0,PIN_N20,,,,,,,,,,,,,
hex4[4],Output,PIN_U15,4A,B4A_N0,PIN_N21,,,,,,,,,,,,,
hex4[5],Output,PIN_Y15,4A,B4A_N0,PIN_P16,,,,,,,,,,,,,
hex4[6],Output,PIN_P9,3B,B3B_N0,PIN_R21,,,,,,,,,,,,,
hex5[0],Output,PIN_N9,3B,B3B_N0,PIN_Y19,,,,,,,,,,,,,
hex5[1],Output,PIN_M8,3B,B3B_N0,PIN_P18,,,,,,,,,,,,,
hex5[2],Output,PIN_T14,4A,B4A_N0,PIN_R15,,,,,,,,,,,,,
hex5[3],Output,PIN_P14,4A,B4A_N0,PIN_R22,,,,,,,,,,,,,
hex5[4],Output,PIN_C1,2A,B2A_N0,PIN_T15,,,,,,,,,,,,,
