# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\xKamaiL\Desktop\digitalcircuit-laboratoy\lab5\part3\pin.csv
# Generated on: Wed Aug 31 10:45:49 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
clock50,Input,PIN_M9,3B,B3B_N0,PIN_M16,,,,,,,,,,,,,
hex0[0],Output,PIN_U21,4A,B4A_N0,PIN_J7,,,,,,,,,,,,,
hex0[1],Output,PIN_V21,4A,B4A_N0,PIN_A10,,,,,,,,,,,,,
hex0[2],Output,PIN_W22,4A,B4A_N0,PIN_L7,,,,,,,,,,,,,
hex0[3],Output,PIN_W21,4A,B4A_N0,PIN_F10,,,,,,,,,,,,,
hex0[4],Output,PIN_Y22,4A,B4A_N0,PIN_J8,,,,,,,,,,,,,
hex0[5],Output,PIN_Y21,4A,B4A_N0,PIN_K7,,,,,,,,,,,,,
hex0[6],Output,PIN_AA22,4A,B4A_N0,PIN_G10,,,,,,,,,,,,,
hex1[0],Output,PIN_AA20,4A,B4A_N0,PIN_G8,,,,,,,,,,,,,
hex1[1],Output,PIN_AB20,4A,B4A_N0,PIN_E12,,,,,,,,,,,,,
hex1[2],Output,PIN_AA19,4A,B4A_N0,PIN_H8,,,,,,,,,,,,,
hex1[3],Output,PIN_AA18,4A,B4A_N0,PIN_L8,,,,,,,,,,,,,
hex1[4],Output,PIN_AB18,4A,B4A_N0,PIN_D12,,,,,,,,,,,,,
hex1[5],Output,PIN_AA17,4A,B4A_N0,PIN_C11,,,,,,,,,,,,,
hex1[6],Output,PIN_U22,4A,B4A_N0,PIN_B11,,,,,,,,,,,,,
hex2[0],Output,PIN_Y19,4A,B4A_N0,PIN_A15,,,,,,,,,,,,,
hex2[1],Output,PIN_AB17,4A,B4A_N0,PIN_J17,,,,,,,,,,,,,
hex2[2],Output,PIN_AA10,3B,B3B_N0,PIN_A14,,,,,,,,,,,,,
hex2[3],Output,PIN_Y14,4A,B4A_N0,PIN_K16,,,,,,,,,,,,,
hex2[4],Output,PIN_V14,4A,B4A_N0,PIN_H16,,,,,,,,,,,,,
hex2[5],Output,PIN_AB22,4A,B4A_N0,PIN_H15,,,,,,,,,,,,,
hex2[6],Output,PIN_AB21,4A,B4A_N0,PIN_F15,,,,,,,,,,,,,
hex3[0],Output,PIN_Y16,4A,B4A_N0,PIN_K21,,,,,,,,,,,,,
hex3[1],Output,PIN_W16,4A,B4A_N0,PIN_A12,,,,,,,,,,,,,
hex3[2],Output,PIN_Y17,4A,B4A_N0,PIN_C13,,,,,,,,,,,,,
hex3[3],Output,PIN_V16,4A,B4A_N0,PIN_B12,,,,,,,,,,,,,
hex3[4],Output,PIN_U17,4A,B4A_N0,PIN_K22,,,,,,,,,,,,,
hex3[5],Output,PIN_V18,4A,B4A_N0,PIN_L18,,,,,,,,,,,,,
hex3[6],Output,PIN_V19,4A,B4A_N0,PIN_L19,,,,,,,,,,,,,
hex4[0],Output,PIN_U20,4A,B4A_N0,PIN_G12,,,,,,,,,,,,,
hex4[1],Output,PIN_Y20,4A,B4A_N0,PIN_G11,,,,,,,,,,,,,
hex4[2],Output,PIN_V20,4A,B4A_N0,PIN_F12,,,,,,,,,,,,,
hex4[3],Output,PIN_U16,4A,B4A_N0,PIN_D13,,,,,,,,,,,,,
hex4[4],Output,PIN_U15,4A,B4A_N0,PIN_G13,,,,,,,,,,,,,
hex4[5],Output,PIN_Y15,4A,B4A_N0,PIN_H13,,,,,,,,,,,,,
hex4[6],Output,PIN_P9,3B,B3B_N0,PIN_H10,,,,,,,,,,,,,
hex5[0],Output,PIN_N9,3B,B3B_N0,PIN_G15,,,,,,,,,,,,,
hex5[1],Output,PIN_M8,3B,B3B_N0,PIN_F13,,,,,,,,,,,,,
hex5[2],Output,PIN_T14,4A,B4A_N0,PIN_J13,,,,,,,,,,,,,
hex5[3],Output,PIN_P14,4A,B4A_N0,PIN_H14,,,,,,,,,,,,,
hex5[4],Output,PIN_C1,2A,B2A_N0,PIN_J11,,,,,,,,,,,,,
hex5[5],Output,PIN_C2,2A,B2A_N0,PIN_E14,,,,,,,,,,,,,
hex5[6],Output,PIN_W19,4A,B4A_N0,PIN_A13,,,,,,,,,,,,,
key0,Input,PIN_U7,3A,B3A_N0,PIN_B13,,,,,,,,,,,,,
key1,Input,PIN_W9,3A,B3A_N0,PIN_C15,,,,,,,,,,,,,
sw[7],Input,PIN_AA13,4A,B4A_N0,PIN_K20,,,,,,,,,,,,,
sw[6],Input,PIN_AA14,4A,B4A_N0,PIN_AA1,,,,,,,,,,,,,
sw[5],Input,PIN_AB15,4A,B4A_N0,PIN_V10,,,,,,,,,,,,,
sw[4],Input,PIN_AA15,4A,B4A_N0,PIN_B7,,,,,,,,,,,,,
sw[3],Input,PIN_T12,4A,B4A_N0,PIN_P22,,,,,,,,,,,,,
sw[2],Input,PIN_T13,4A,B4A_N0,PIN_M8,,,,,,,,,,,,,
sw[1],Input,PIN_V13,4A,B4A_N0,PIN_A9,,,,,,,,,,,,,
sw[0],Input,PIN_U13,4A,B4A_N0,PIN_P14,,,,,,,,,,,,,
